Recipe ID,Recipe Title,Recipe Category,Recipe Ingredients Quantities,Recipe Instructions,Description,Blood Pressure,Blood Sugar,High Cholesterol,Diabetes,Allergies_Meat,Allergies_Eggs,Allergies_Fish,Allergies_Peanuts,Gluten-Free,Lactose-Intolerant,Vegan,Vegetarian
1,Chapati,Bread,"All-Purpose Flour (2 cups), Water (1 cup), Salt (1/2 tsp), Oil (2 tbsp)","1. Mix flour, salt, and water to form a dough. 2. Divide into balls. 3. Roll into flat circles. 4. Cook on a griddle.","Soft and flaky Kenyan flatbread",#,#,#,#,,,,#,
2,Nyama Fry,Meat,"Beef (500g), Soy Sauce (2 tbsp), Garlic (3 cloves), Ginger (1 tsp)","1. Marinate beef in soy sauce, garlic, and ginger. 2. Fry until browned. 3. Serve with a side of vegetables.","Flavorful stir-fried meat dish",#,#,#,#,,,,,#,
3,Ugali,Staple,"Maize Flour (2 cups), Water (3 cups)","1. Boil water. 2. Gradually add maize flour, stirring to avoid lumps. 3. Cook until a thick consistency is achieved.","Staple Kenyan dish made from maize flour",#,#,#,#,,,,#,
4,Sukuma Wiki and Rice,Main Dish,"Sukuma Wiki (200g), Rice (1 cup), Onion (1), Tomatoes (2)","1. Cook rice. 2. Saute onions and tomatoes. 3. Add Sukuma Wiki and stir until cooked. 4. Serve over rice.","Balanced and nutritious meal with greens and rice",#,#,#,#,,,,#,
5,Fish Stew,Seafood,"Tilapia Fillets (4), Coconut Milk (1 cup), Tomatoes (3), Curry Powder (1 tsp)","1. Cook fish in coconut milk. 2. Add tomatoes and curry powder. 3. Simmer until fish is tender.","A flavorful fish stew with a hint of coconut",#,#,#,#,,,,,#,
6,Samosa,Snack,"Potatoes (2), Peas (1/2 cup), Ground Beef (200g), Flour (1 cup)","1. Boil and mash potatoes. 2. Mix with peas and cooked ground beef. 3. Fill into samosa wrappers and fry.","Triangular pastries filled with spiced potatoes, peas, and meat",#,#,#,#,#,#,#,#,#,#,
7,Kachumbari,Salad,"Tomatoes (4), Onions (1), Cilantro (1/4 cup), Lemon Juice (2 tbsp)","1. Dice tomatoes and onions. 2. Mix with chopped cilantro. 3. Drizzle with lemon juice.","Fresh and tangy Kenyan tomato and onion salad",#,#,#,#,#,#,#,#,#,#,
8,Matoke,Main Dish,"Green Bananas (4), Coconut Milk (1 cup), Onions (1), Garlic (2 cloves)","1. Cook chopped bananas in coconut milk. 2. Saute onions and garlic. 3. Mix together and simmer.","A traditional dish made with green bananas and coconut milk",#,#,#,#,,,,#,
9,Kenyan Tea,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Sugar (to taste)","1. Boil tea leaves in water. 2. Add milk and sugar. 3. Strain and serve hot.","Strong and sweet tea enjoyed widely in Kenya",#,#,#,#,,,,,#,
10,Chicken Pilau,Main Dish,"Chicken (500g), Basmati Rice (1 cup), Onions (1), Pilau Masala (2 tsp)","1. Cook rice. 2. Saute onions. 3. Add chicken and pilau masala. 4. Combine with rice.","A fragrant and spiced chicken and rice dish",#,#,#,#,,,,,#,
11,Grilled Tilapia,Seafood,"Tilapia Fillets (4), Lemon Juice (2 tbsp), Garlic (2 cloves), Paprika (1 tsp)","1. Marinate fish in lemon juice, minced garlic, and paprika. 2. Grill until cooked.","Healthy and delicious grilled tilapia",#,#,#,#,,,,,#,
12,Kenyan Vegetable Curry,Vegetarian,"Mixed Vegetables (2 cups), Coconut Milk (1 cup), Curry Powder (1 tsp)","1. Cook mixed vegetables in coconut milk and curry powder. 2. Serve over rice.","A flavorful and creamy vegetarian curry",#,#,#,#,,,,,#,
13,Mandazi with Coconut,Snack,"Flour (2 cups), Sugar (1/4 cup), Coconut Milk (1 cup), Oil (for frying)","1. Mix flour, sugar, and coconut milk. 2. Cut into shapes and fry until golden.","Sweet fried dough with a coconut twist",#,#,#,#,#,#,#,#,#,#,
14,Kenyan Beef Stew,Main Dish,"Beef Stew Meat (500g), Potatoes (2), Carrots (2), Tomato Paste (2 tbsp)","1. Brown beef. 2. Add diced potatoes, carrots, and tomato paste. 3. Simmer until tender.","Hearty and comforting beef stew",#,#,#,#,,,,,#,
15,Chapati Rolls with Veggies,Bread,"Chapati (4), Mixed Vegetables (1 cup), Mayonnaise (2 tbsp)","1. Saute mixed vegetables. 2. Spread mayonnaise on chapati, fill with veggies, and roll.","A tasty and portable meal with chapati and colorful veggies",#,#,#,#,#,#,#,#,#,#,
16,Coconut Rice,Side Dish,"Basmati Rice (1 cup), Coconut Milk (1 cup), Peas (1/2 cup), Turmeric (1/2 tsp)","1. Cook rice in coconut milk. 2. Add peas and turmeric for color. 3. Fluff and serve.","Fragrant and flavorful coconut-infused rice",#,#,#,#,,,,#,
17,Swahili Chicken Curry,Main Dish,"Chicken (500g), Coconut Milk (1 cup), Onions (1), Curry Powder (1 tsp)","1. Cook chicken in coconut milk and curry powder. 2. Garnish with sauteed onions.","A Swahili-inspired chicken curry",#,#,#,#,,,,,#,
18,Kenyan Mango Salad,Salad,"Mangoes (2), Avocado (1), Red Onion (1), Lime Juice (2 tbsp)","1. Dice mangoes, avocados, and red onion. 2. Drizzle with lime juice.","A refreshing Kenyan salad with mangoes, avocados, and red onion",#,#,#,#,#,#,#,#,#,#,
19,Managu Stew,Main Dish,"Managu Leaves (300g), Tomatoes (3), Onion (1), Garlic (2 cloves), Vegetable Oil (2 tbsp)","1. Saute onions and garlic. 2. Add chopped tomatoes. 3. Stir in Managu leaves until wilted. 4. Simmer until flavors meld.","A flavorful Kenyan stew featuring nutritious Managu leaves",#,#,#,#,#,#,#,#,#,#,
20,Mandazi Delight,Snack,"Flour (2 cups), Coconut Milk (1 cup), Sugar (1/4 cup), Baking Powder (1 tsp), Oil (for frying)","1. Combine flour, sugar, and baking powder. 2. Mix in coconut milk. 3. Cut into shapes and fry until golden.","A sweet and coconut-infused twist on traditional Mandazi",#,#,#,#,#,#,#,#,#,#,
21,Sukuma Wiki Wrap,Main Dish,"Sukuma Wiki (200g), Whole Wheat Tortillas (4), Avocado (1), Lemon Juice (1 tbsp), Salt (to taste)","1. Saute Sukuma Wiki until tender. 2. Fill tortillas with Sukuma Wiki, sliced avocado, and a drizzle of lemon juice.","A wholesome and green wrap featuring Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
22,Chapati Pizza,Bread,"Chapati (2), Tomato Sauce (1/2 cup), Cheese (1 cup), Bell Peppers (1), Onion (1)","1. Spread tomato sauce on chapati. 2. Sprinkle with cheese, bell peppers, and onions. 3. Bake until cheese melts.","A Kenyan fusion delight - pizza with a Chapati crust",#,#,#,#,#,#,#,#,#,#,
23,Kenyan Masala Chai,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Cardamom (2 pods), Cinnamon (1 stick), Ginger (1 tsp), Sugar (to taste)","1. Boil tea leaves, water, and spices. 2. Add milk and sugar. 3. Strain and enjoy a fragrant Masala Chai.","A spiced and aromatic tea, a favorite in Kenyan households",#,#,#,#,#,#,#,#,#,#,
24,Nyama Choma Feast,Meat,"Beef (1 kg), Salt (to taste), Black Pepper (1 tsp), Garlic (4 cloves), Vegetable Oil (2 tbsp)","1. Cut beef into chunks. 2. Season with salt, black pepper, and minced garlic. 3. Grill until charred and succulent.","A classic Kenyan BBQ dish - Nyama Choma for a festive feast",#,#,#,#,#,#,#,#,#,#,
25,Kienyeji Chicken Stew,Main Dish,"Kienyeji Chicken (1 whole), Potatoes (3), Carrots (2), Peas (1/2 cup), Tomato Paste (2 tbsp)","1. Cut chicken into pieces. 2. Brown in a pot. 3. Add diced potatoes, carrots, and tomato paste. 4. Simmer until chicken is cooked through.","A hearty stew with traditional Kienyeji Chicken",#,#,#,#,#,#,#,#,#,#,
26,Irio Delight,Main Dish,"Green Peas (1 cup), Mashed Potatoes (2 cups), Maize (Corn) (1 cup), Carrots (1), Butter (2 tbsp)","1. Boil green peas, maize, and carrots. 2. Mash potatoes. 3. Mix all ingredients with butter.","A comforting Kenyan dish with mashed potatoes and mixed vegetables",#,#,#,#,#,#,#,#,#,#,
27,Mango Avocado Salsa,Salad,"Mangoes (2), Avocado (1), Red Onion (1), Cilantro (1/4 cup), Lime Juice (2 tbsp)","1. Dice mango, avocado, and onion. 2. Mix with chopped cilantro. 3. Drizzle with lime juice.","A vibrant and fruity salsa with a Kenyan twist",#,#,#,#,#,#,#,#,#,#,
28,Sukuma Wiki Omelette,Breakfast,"Sukuma Wiki (100g), Eggs (3), Onion (1), Tomato (1), Salt (to taste)","1. Saute Sukuma Wiki, onion, and tomato. 2. Whisk eggs and pour over sauteed mixture. 3. Cook until set.","A nutritious and savory omelette with Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
29,Githeri Delicacy,Main Dish,"Maize (Corn) (1 cup), Beans (1 cup), Potatoes (2), Onion (1), Tomatoes (2)","1. Boil maize and beans until tender. 2. Add diced potatoes, onions, and tomatoes. 3. Simmer until flavors meld.","A classic Kenyan dish with a mix of maize, beans, and potatoes",#,#,#,#,#,#,#,#,#,#,
30,Banana Chapati Rolls,Snack,"Ripe Bananas (2), Chapati (4), Honey (2 tbsp), Ground Cinnamon (1/2 tsp)","1. Mash bananas. 2. Spread mashed bananas on chapati, drizzle with honey, and sprinkle cinnamon. 3. Roll and enjoy!","Sweet and satisfying rolls with ripe bananas and a hint of cinnamon",#,#,#,#,#,#,#,#,#,#,
31,Kachumbari Pizza,Bread,"Pizza Dough (1), Tomatoes (2), Onion (1), Green Bell Pepper (1), Cilantro (1/4 cup)","1. Roll out pizza dough. 2. Spread chopped tomatoes, onions, bell pepper, and cilantro. 3. Bake until crust is golden.","A fusion pizza with the freshness of Kachumbari salad",#,#,#,#,#,#,#,#,#,#,
32,Chai Spiced Cookies,Dessert,"All-Purpose Flour (2 cups), Butter (1 cup), Sugar (1 cup), Eggs (2), Chai Spice Mix (1 tbsp), Baking Powder (1 tsp)","1. Cream butter and sugar. 2. Add eggs and chai spice mix. 3. Mix in flour and baking powder. 4. Bake until golden.","Delicious chai-spiced cookies for a flavorful treat",#,#,#,#,#,#,#,#,#,#,
33,Mahamri Delight,Snack,"All-Purpose Flour (2 cups), Coconut Milk (1 cup), Sugar (1/4 cup), Cardamom (1 tsp), Baking Powder (1 tsp), Oil (for frying)","1. Mix flour, sugar, cardamom, and baking powder with coconut milk. 2. Cut into shapes and fry until golden.","Sweet and fluffy Mahamri, a popular coastal Kenyan snack",#,#,#,#,#,#,#,#,#,#,
34,Nyoyo Fusion Bowl,Main Dish,"Quinoa (1 cup), Black Beans (1/2 cup), Sweet Potatoes (2), Avocado (1), Lime Juice (2 tbsp), Cilantro (1/4 cup)","1. Cook quinoa, black beans, and sweet potatoes. 2. Assemble in a bowl with sliced avocado. 3. Drizzle with lime juice and garnish with cilantro.","A wholesome bowl with a fusion of flavors and textures",#,#,#,#,#,#,#,#,#,#,
35,Sweet Plantain Fritters,Snack,"Ripe Plantains (2), All-Purpose Flour (1 cup), Sugar (1/4 cup), Baking Powder (1 tsp), Water (1/2 cup), Oil (for frying)","1. Slice plantains. 2. Dip in batter made of flour, sugar, baking powder, and water. 3. Fry until golden.","Irresistible fritters with sweet and caramelized plantains",#,#,#,#,#,#,#,#,#,#,
36,Managu Delight,Main Dish,"Managu (African Nightshade) (200g), Onions (1), Tomatoes (2), Garlic (2 cloves), Vegetable Oil (2 tbsp)","1. Saute onions and garlic. 2. Add chopped Managu and tomatoes. 3. Cook until Managu is tender.","A nutritious and flavorful dish featuring Managu (African Nightshade)",#,#,#,#,#,#,#,#,#,#,
37,Mango Lassi Smoothie,Beverage,"Mango (1), Yogurt (1 cup), Milk (1/2 cup), Sugar (2 tbsp), Cardamom (1/2 tsp)","1. Blend mango, yogurt, milk, sugar, and cardamom until smooth.","A refreshing and creamy mango lassi smoothie",#,#,#,#,#,#,#,#,#,#,
38,Kienyeji Chicken Stew,Main Dish,"Kienyeji Chicken (500g), Potatoes (2), Carrots (2), Onion (1), Tomato Paste (2 tbsp)","1. Brown Kienyeji chicken. 2. Add diced potatoes, carrots, onions, and tomato paste. 3. Simmer until chicken is cooked through.","A hearty and traditional Kenyan chicken stew",#,#,#,#,#,#,#,#,#,#,
39,Sukuma Wiki Wrap,Main Dish,"Sukuma Wiki (200g), Chapati (4), Avocado (1), Lemon Juice (2 tbsp), Salt (to taste)","1. Saute Sukuma Wiki. 2. Spread Sukuma Wiki on chapati, add sliced avocado, and drizzle with lemon juice. 3. Roll and enjoy!","A tasty wrap with the goodness of Sukuma Wiki and avocado",#,#,#,#,#,#,#,#,#,#,
40,Baobab Citrus Salad,Salad,"Baobab Fruit Pulp (1/2 cup), Oranges (2), Grapefruit (1), Mint Leaves (1/4 cup), Honey (2 tbsp)","1. Mix baobab fruit pulp with citrus segments. 2. Garnish with mint leaves and drizzle with honey.","A refreshing salad featuring baobab fruit and citrus",#,#,#,#,#,#,#,#,#,#,
41,Sweet Potato Porridge,Breakfast,"Sweet Potatoes (2), Coconut Milk (1 cup), Cinnamon (1/2 tsp), Nutmeg (1/4 tsp), Brown Sugar (2 tbsp)","1. Boil and mash sweet potatoes. 2. Mix with coconut milk, cinnamon, nutmeg, and brown sugar. 3. Heat until warm.","A comforting and spiced sweet potato porridge",#,#,#,#,#,#,#,#,#,#,
42,Maharagwe Stew,Main Dish,"Black Beans (1 cup), Coconut Milk (1 cup), Tomatoes (2), Onion (1), Garlic (2 cloves)","1. Cook black beans. 2. Add coconut milk, diced tomatoes, onions, and garlic. 3. Simmer until flavors meld.","A rich and flavorful stew made with black beans and coconut milk",#,#,#,#,#,#,#,#,#,#,
43,Banana Millet Pancakes,Breakfast,"Millet Flour (1 cup), Ripe Bananas (2), Milk (1 cup), Baking Powder (1 tsp), Vanilla Extract (1/2 tsp)","1. Mash bananas. 2. Mix with millet flour, milk, baking powder, and vanilla extract. 3. Cook into pancakes.","Wholesome and gluten-free pancakes with millet and banana",#,#,#,#,#,#,#,#,#,#,
44,Garlic Butter Prawns,Seafood,"Prawns (300g), Butter (2 tbsp), Garlic (3 cloves), Lemon Juice (2 tbsp), Parsley (1/4 cup)","1. Saute prawns in garlic butter. 2. Add lemon juice and chopped parsley. 3. Cook until prawns are pink and cooked through.","Buttery and flavorful garlic butter prawns for seafood lovers",#,#,#,#,#,#,#,#,#,#,
45,Chapati Nachos,Appetizer,"Chapati (4), Black Beans (1/2 cup), Cheese (1 cup), Jalapeños (2, sliced), Sour Cream (1/2 cup)","1. Cut chapati into triangles. 2. Top with black beans, cheese, and jalapeños. 3. Bake until cheese is melted. 4. Serve with sour cream.","A Kenyan twist on classic nachos using chapati as the base",#,#,#,#,#,#,#,#,#,#,
46,Irio (Mashed Peas and Potatoes),Side Dish,"Green Peas (1 cup), Potatoes (2), Corn Kernels (1/2 cup), Butter (2 tbsp), Salt (to taste)","1. Boil peas, potatoes, and corn. 2. Mash together with butter and salt. 3. Serve hot.","A classic Kenyan dish blending mashed peas, potatoes, and corn",#,#,#,#,#,#,#,#,#,#,
47,Coconut Lentil Curry,Vegetarian,"Lentils (1 cup), Coconut Milk (1 cup), Tomatoes (2), Onion (1), Curry Powder (1 tsp)","1. Cook lentils. 2. Add coconut milk, diced tomatoes, onions, and curry powder. 3. Simmer until lentils are tender.","A flavorful vegetarian curry with the richness of coconut",#,#,#,#,#,#,#,#,#,#,
48,Bhajia (Spiced Potato Fritters),Appetizer,"Potatoes (2), Chickpea Flour (1 cup), Chili Powder (1 tsp), Turmeric (1/2 tsp), Water (1/2 cup)","1. Slice potatoes. 2. Dip in chickpea flour batter with chili powder and turmeric. 3. Fry until golden brown.","Spiced potato fritters, perfect for snacking or appetizers",#,#,#,#,#,#,#,#,#,#,
49,Swahili Coconut Bean Soup,Soup,"Black-eyed Beans (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Ginger (1 tsp)","1. Cook black-eyed beans. 2. Add coconut milk, diced onions, garlic, and ginger. 3. Simmer into a hearty soup.","A comforting Swahili soup with black-eyed beans and coconut",#,#,#,#,#,#,#,#,#,#,
50,Sukuma Wiki Pizza,Main Dish,"Sukuma Wiki (200g), Pizza Dough (1), Tomato Sauce (1/2 cup), Cheese (1 cup), Bell Peppers (Assorted, sliced)","1. Saute Sukuma Wiki. 2. Spread tomato sauce on pizza dough. 3. Top with Sukuma Wiki, cheese, and bell peppers. 4. Bake until crust is golden.","A creative fusion of Sukuma Wiki and pizza for a unique meal",#,#,#,#,#,#,#,#,#,#,
51,Kenyan Masala Chai,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Ginger (1/2 tsp), Cardamom (2 pods)","1. Boil tea leaves in water with ginger and cardamom. 2. Add milk. 3. Strain and enjoy aromatic masala chai.","A spiced and fragrant tea, a staple in Kenyan households",#,#,#,#,#,#,#,#,#,#,
52,Githeri (Maize and Beans Stew),Main Dish,"Maize (1 cup), Black Beans (1 cup), Onion (1), Tomatoes (2), Garlic (2 cloves)","1. Boil maize and black beans. 2. Saute onions, garlic, and tomatoes. 3. Combine all ingredients. 4. Simmer until flavors meld.","A traditional Kenyan stew combining maize and black beans",#,#,#,#,#,#,#,#,#,#,
53,Kaimati (Sweet Dumplings),Dessert,"All-Purpose Flour (2 cups), Sugar (1/2 cup), Coconut Milk (1 cup), Cardamom Powder (1/2 tsp), Baking Powder (1 tsp)","1. Mix flour, sugar, coconut milk, cardamom powder, and baking powder. 2. Shape into dumplings. 3. Fry until golden. 4. Sprinkle with sugar.","Sweet and indulgent dumplings, a popular Kenyan dessert",#,#,#,#,#,#,#,#,#,#,
54,Chakalaka (Spicy Vegetable Relish),Side Dish,"Cabbage (1/2), Carrots (2), Bell Peppers (Assorted, 2), Onion (1), Tomato Sauce (1/2 cup)","1. Shred cabbage, carrots, and bell peppers. 2. Saute with onions and tomato sauce. 3. Cook until vegetables are tender.","A flavorful and spicy vegetable relish to accompany meals",#,#,#,#,#,#,#,#,#,#,
55,Mbaazi (Pigeon Peas in Coconut Sauce),Main Dish,"Pigeon Peas (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Tomato (1)","1. Cook pigeon peas. 2. Add coconut milk, diced onions, garlic, and tomatoes. 3. Simmer until peas are tender.","A rich and creamy dish featuring pigeon peas in coconut sauce",#,#,#,#,#,#,#,#,#,#,
56,Mahamri (Coconut Doughnuts),Dessert,"All-Purpose Flour (2 cups), Coconut Milk (1 cup), Sugar (1/4 cup), Cardamom Powder (1/2 tsp), Baking Powder (1 tsp)","1. Mix flour, coconut milk, sugar, cardamom powder, and baking powder. 2. Shape into rounds. 3. Fry until golden brown.","Sweet and aromatic coconut-infused doughnuts, a festive treat",#,#,#,#,#,#,#,#,#,#,
57,Sukuma Wiki Wrap,Main Dish,"Sukuma Wiki (200g), Tortillas (4), Avocado (1), Tomatoes (2), Onion (1)","1. Saute Sukuma Wiki. 2. Fill tortillas with Sukuma Wiki, sliced avocado, diced tomatoes, and onions.","A quick and flavorful wrap featuring Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
58,Kunde (Cowpeas in Coconut Sauce),Main Dish,"Cowpeas (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Chili Flakes (1/2 tsp)","1. Cook cowpeas. 2. Add coconut milk, diced onions, garlic, and chili flakes. 3. Simmer until cowpeas are tender.","A delicious and creamy dish showcasing cowpeas in coconut sauce",#,#,#,#,#,#,#,#,#,#,
59,Mandazi with Honey,Snack,"All-Purpose Flour (2 cups), Sugar (1/4 cup), Coconut Milk (1 cup), Oil (for frying), Honey (for drizzling)","1. Mix flour, sugar, and coconut milk. 2. Fry until golden. 3. Drizzle with honey before serving.","Sweet fried dough with a touch of honey, a delightful snack",#,#,#,#,#,#,#,#,#,#,
60,Kachori (Spiced Lentil Pastries),Snack,"Lentils (1 cup), All-Purpose Flour (2 cups), Garam Masala (1 tsp), Cumin Seeds (1 tsp), Oil (for frying)","1. Cook lentils. 2. Mix lentils, flour, garam masala, and cumin seeds. 3. Shape into rounds and fry until golden.","Spiced lentil-filled pastries, a popular snack in Kenyan cuisine",#,#,#,#,#,#,#,#,#,#,
61,Nyama Choma (Grilled Meat),Meat,"Beef Cubes (500g), Soy Sauce (2 tbsp), Garlic (3 cloves), Lemon Juice (2 tbsp)","1. Marinate beef in soy sauce, garlic, and lemon juice. 2. Grill until cooked to your liking.","Classic Kenyan grilled meat, perfect for gatherings and celebrations",#,#,#,#,#,#,#,#,#,#,
62,Gurasa (Sesame Seed Flatbread),Bread,"All-Purpose Flour (2 cups), Sesame Seeds (1/4 cup), Water (1 cup), Oil (2 tbsp)","1. Mix flour, sesame seeds, and water to form a dough. 2. Divide into balls. 3. Roll into flat circles. 4. Cook on a griddle.","Flatbread with a nutty crunch from sesame seeds, a delightful accompaniment",#,#,#,#,#,#,#,#,#,#,
63,Kidney Bean Stew,Main Dish,"Kidney Beans (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Tomato Paste (2 tbsp)","1. Cook kidney beans. 2. Add coconut milk, diced onions, garlic, and tomato paste. 3. Simmer until beans are tender.","Hearty stew featuring kidney beans in a flavorful coconut sauce",#,#,#,#,#,#,#,#,#,#,
64,Kahawa (Kenyan Coffee),Beverage,"Ground Coffee (2 tbsp), Water (1 cup), Sugar (to taste), Cardamom (2 pods), Cinnamon Stick (1)","1. Brew coffee with cardamom and a cinnamon stick. 2. Add sugar to taste. 3. Serve hot.","Strong and spiced Kenyan coffee, a morning ritual for many",#,#,#,#,#,#,#,#,#,#,
65,Murungai (Moringa) Smoothie,Beverage,"Moringa Leaves (1 cup), Banana (1), Yogurt (1/2 cup), Honey (2 tbsp), Water (1/2 cup)","1. Blend moringa leaves, banana, yogurt, honey, and water until smooth. 2. Serve chilled.","A nutritious and vibrant smoothie featuring moringa leaves",#,#,#,#,#,#,#,#,#,#,
66,Mbaazi (Pigeon Peas in Coconut Sauce),Main Dish,"Pigeon Peas (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Turmeric Powder (1/2 tsp)","1. Cook pigeon peas. 2. Add coconut milk, diced onions, garlic, and turmeric powder. 3. Simmer until peas are tender.","A flavorful dish featuring pigeon peas in a rich coconut sauce",#,#,#,#,#,#,#,#,#,#,
67,Kunde Salad,Salad,"Cowpeas (1 cup), Tomatoes (2), Cucumber (1), Red Onion (1), Lemon Juice (2 tbsp)","1. Boil cowpeas. 2. Dice tomatoes, cucumber, and red onion. 3. Toss all ingredients with lemon juice.","A refreshing salad showcasing boiled cowpeas with vibrant vegetables",#,#,#,#,#,#,#,#,#,#,
68,Chapati Pizza,Bread,"Chapati (2), Tomato Sauce (1/2 cup), Cheese (1/2 cup), Bell Peppers (1), Onions (1), Olives (1/4 cup)","1. Spread tomato sauce on chapati. 2. Add cheese, bell peppers, onions, and olives. 3. Bake until cheese is melted.","A fusion of Kenyan chapati and pizza, a creative and tasty twist",#,#,#,#,#,#,#,#,#,#,
69,Managu (African Nightshade) Saute,Side Dish,"Managu Leaves (2 cups), Garlic (2 cloves), Olive Oil (1 tbsp), Salt (to taste)","1. Saute managu leaves with minced garlic in olive oil. 2. Season with salt to taste.","A simple and nutritious saute featuring Managu leaves",#,#,#,#,#,#,#,#,#,#,
70,Githeri,Main Dish,"Maize (1 cup), Beans (1 cup), Onion (1), Tomatoes (2), Water (3 cups)","1. Boil maize and beans until tender. 2. Saute diced onions and tomatoes. 3. Mix with boiled maize and beans.","A traditional Kenyan dish combining maize and beans in a flavorful stew",#,#,#,#,#,#,#,#,#,#,
71,Sukuma Wiki and Lentil Stew,Main Dish,"Sukuma Wiki (200g), Lentils (1 cup), Onion (1), Garlic (2 cloves), Tomatoes (2)","1. Cook lentils. 2. Saute onions, garlic, and tomatoes. 3. Add Sukuma Wiki and simmer until cooked.","A nutritious stew featuring Sukuma Wiki and protein-rich lentils",#,#,#,#,#,#,#,#,#,#,
72,Chai Poa (Kenyan Spiced Tea),Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Ginger (1/2 inch), Cinnamon Stick (1)","1. Boil tea leaves with ginger and a cinnamon stick. 2. Add milk and sugar to taste. 3. Strain and serve hot.","A warming spiced tea, a favorite beverage in Kenyan households",#,#,#,#,#,#,#,#,#,#,
73,Maharagwe (Kenyan Coconut Beans),Main Dish,"Kidney Beans (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Chili Flakes (1/2 tsp)","1. Cook kidney beans. 2. Add coconut milk, diced onions, garlic, and chili flakes. 3. Simmer until beans are tender.","Beans cooked in rich coconut milk, a creamy and flavorful dish",#,#,#,#,#,#,#,#,#,#,
74,Karanga (Peanut) Soup,Soup,"Peanuts (1/2 cup), Sweet Potatoes (2), Onion (1), Garlic (2 cloves), Vegetable Broth (2 cups)","1. Roast peanuts. 2. Saute diced sweet potatoes, onions, and garlic. 3. Blend with vegetable broth until smooth.","A comforting soup featuring roasted peanuts and sweet potatoes",#,#,#,#,#,#,#,#,#,#,
75,Pilipili Hoho (Stuffed Bell Peppers),Main Dish,"Bell Peppers (4), Minced Beef (300g), Rice (1/2 cup), Onion (1), Tomato Sauce (1/2 cup)","1. Cook rice. 2. Saute minced beef, diced onions, and tomato sauce. 3. Stuff bell peppers and bake.","Colorful bell peppers stuffed with a flavorful mixture of beef and rice",#,#,#,#,#,#,#,#,#,#,
76,Kienyeji Chicken Stew,Main Dish,"Kienyeji Chicken (500g), Potatoes (2), Carrots (2), Bell Peppers (1), Tomato Paste (2 tbsp)","1. Brown kienyeji chicken. 2. Add diced potatoes, carrots, bell peppers, and tomato paste. 3. Simmer until tender.","A hearty stew featuring local kienyeji chicken and colorful vegetables",#,#,#,#,#,#,#,#,#,#,
